"carat,""price"",""color"",""clarity"",""depth"",""table"",""cut"",""x"",""y"",""z"""
"0.23,326,""E"",""SI2"",61.5,55,""Ideal"",3.95,3.98,2.43"
"0.21,326,""E"",""SI1"",59.8,61,""Premium"",3.89,3.84,2.31"
"0.23,327,""E"",""VS1"",56.9,65,""Good"",4.05,4.07,2.31"
"0.29,334,""I"",""VS2"",62.4,58,""Premium"",4.2,4.23,2.63"
"0.31,335,""J"",""SI2"",63.3,58,""Good"",4.34,4.35,2.75"
"0.24,336,""J"",""VVS2"",62.8,57,""Very Good"",3.94,3.96,2.48"
"0.24,336,""I"",""VVS1"",62.3,57,""Very Good"",3.95,3.98,2.47"
"0.26,337,""H"",""SI1"",61.9,55,""Very Good"",4.07,4.11,2.53"
"0.22,337,""E"",""VS2"",65.1,61,""Fair"",3.87,3.78,2.49"
"0.23,338,""H"",""VS1"",59.4,61,""Very Good"",4,4.05,2.39"
"0.3,339,""J"",""SI1"",64,55,""Good"",4.25,4.28,2.73"
"0.23,340,""J"",""VS1"",62.8,56,""Ideal"",3.93,3.9,2.46"
"0.22,342,""F"",""SI1"",60.4,61,""Premium"",3.88,3.84,2.33"
"0.31,344,""J"",""SI2"",62.2,54,""Ideal"",4.35,4.37,2.71"
"0.2,345,""E"",""SI2"",60.2,62,""Premium"",3.79,3.75,2.27"
"0.32,345,""E"",""I1"",60.9,58,""Premium"",4.38,4.42,2.68"
"0.3,348,""I"",""SI2"",62,54,""Ideal"",4.31,4.34,2.68"
"0.3,351,""J"",""SI1"",63.4,54,""Good"",4.23,4.29,2.7"
"0.3,351,""J"",""SI1"",63.8,56,""Good"",4.23,4.26,2.71"
"0.3,351,""J"",""SI1"",62.7,59,""Very Good"",4.21,4.27,2.66"
"0.3,351,""I"",""SI2"",63.3,56,""Good"",4.26,4.3,2.71"
"0.23,352,""E"",""VS2"",63.8,55,""Very Good"",3.85,3.92,2.48"
"0.23,353,""H"",""VS1"",61,57,""Very Good"",3.94,3.96,2.41"
"0.31,353,""J"",""SI1"",59.4,62,""Very Good"",4.39,4.43,2.62"
"0.31,353,""J"",""SI1"",58.1,62,""Very Good"",4.44,4.47,2.59"
"0.23,354,""G"",""VVS2"",60.4,58,""Very Good"",3.97,4.01,2.41"
"0.24,355,""I"",""VS1"",62.5,57,""Premium"",3.97,3.94,2.47"
"0.3,357,""J"",""VS2"",62.2,57,""Very Good"",4.28,4.3,2.67"
"0.23,357,""D"",""VS2"",60.5,61,""Very Good"",3.96,3.97,2.4"
"0.23,357,""F"",""VS1"",60.9,57,""Very Good"",3.96,3.99,2.42"
"0.23,402,""F"",""VS1"",60,57,""Very Good"",4,4.03,2.41"
"0.23,402,""F"",""VS1"",59.8,57,""Very Good"",4.04,4.06,2.42"
"0.23,402,""E"",""VS1"",60.7,59,""Very Good"",3.97,4.01,2.42"
"0.23,402,""E"",""VS1"",59.5,58,""Very Good"",4.01,4.06,2.4"
"0.23,402,""D"",""VS1"",61.9,58,""Very Good"",3.92,3.96,2.44"
"0.23,402,""F"",""VS1"",58.2,59,""Good"",4.06,4.08,2.37"
"0.23,402,""E"",""VS1"",64.1,59,""Good"",3.83,3.85,2.46"
"0.31,402,""H"",""SI1"",64,54,""Good"",4.29,4.31,2.75"
"0.26,403,""D"",""VS2"",60.8,59,""Very Good"",4.13,4.16,2.52"
"0.33,403,""I"",""SI2"",61.8,55,""Ideal"",4.49,4.51,2.78"
"0.33,403,""I"",""SI2"",61.2,56,""Ideal"",4.49,4.5,2.75"
"0.33,403,""J"",""SI1"",61.1,56,""Ideal"",4.49,4.55,2.76"
"0.26,403,""D"",""VS2"",65.2,56,""Good"",3.99,4.02,2.61"
"0.26,403,""D"",""VS1"",58.4,63,""Good"",4.19,4.24,2.46"
"0.32,403,""H"",""SI2"",63.1,56,""Good"",4.34,4.37,2.75"
"0.29,403,""F"",""SI1"",62.4,58,""Premium"",4.24,4.26,2.65"
"0.32,403,""H"",""SI2"",61.8,55,""Very Good"",4.35,4.42,2.71"
"0.32,403,""H"",""SI2"",63.8,56,""Good"",4.36,4.38,2.79"
"0.25,404,""E"",""VS2"",63.3,60,""Very Good"",4,4.03,2.54"
